,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Year
46,45,45,SAS,Goran Dragić,,15,946,25604,12568,2816,4405,.459,.362,.766,27.1,13.3,3.0,4.7,56.7,.106,0.5,15.9,2008
47,46,46,SEA,Trent Plaisted,Brigham Young University Hawaii,,,,,,,,,,,,,,,,,,2008
48,47,47,WAS,Henry Walker,Kansas State,5,181,3016,1079,401,153,.446,.369,.760,16.7,6.0,2.2,0.8,5.0,.079,-1.8,0.2,2008
49,48,48,PHO,Malik Hairston,Oregon,2,62,472,149,77,29,.512,.167,.514,7.6,2.4,1.2,0.5,0.8,.086,-2.0,0.0,2008
50,49,49,GSW,Richard Hendrix,Alabama,,,,,,,,,,,,,,,,,,2008
51,50,50,SEA,DeVon Hardin,California,,,,,,,,,,,,,,,,,,2008
52,51,51,DAL,Shan Foster,Vanderbilt,,,,,,,,,,,,,,,,,,2008
53,52,52,MIA,Darnell Jackson,Kansas,3,138,1039,308,203,26,.449,.235,.644,7.5,2.2,1.5,0.2,1.3,.059,-5.2,-0.8,2008
54,53,53,UTA,Tadija Dragićević,,,,,,,,,,,,,,,,,,,2008
55,54,54,HOU,Maarty Leunen,Oregon,,,,,,,,,,,,,,,,,,2008
56,55,55,POR,Mike Taylor,Iowa State,1,51,771,289,87,106,.412,.325,.691,15.1,5.7,1.7,2.1,-0.4,-.028,-5.2,-0.6,2008
57,56,56,SEA,Sasha Kaun,Kansas,1,25,95,23,26,3,.529,,.455,3.8,0.9,1.0,0.1,0.2,.096,-2.8,0.0,2008
58,57,57,SAS,James Gist,Maryland,,,,,,,,,,,,,,,,,,2008
59,58,58,LAL,Joe Crawford,Kentucky,1,2,23,9,4,1,.300,.250,1.000,11.5,4.5,2.0,0.5,0.0,.037,-2.7,0.0,2008
60,59,59,DET,Deron Washington,Virginia Tech,,,,,,,,,,,,,,,,,,2008
61,60,60,BOS,Semih Erden,,2,69,928,262,190,29,.546,,.594,13.4,3.8,2.8,0.4,1.8,.094,-3.6,-0.4,2008
0,1,1,LAC,Blake Griffin,Oklahoma,13,765,24384,14513,6109,3055,.493,.328,.696,31.9,19.0,8.0,4.0,81.1,.160,3.3,32.8,2009
1,2,2,MEM,Hasheem Thabeet,UConn,5,224,2357,483,595,27,.567,,.578,10.5,2.2,2.7,0.1,4.8,.099,-2.7,-0.4,2009
2,3,3,OKC,James Harden,Arizona State,14,1000,34752,24693,5648,7015,.442,.363,.860,34.8,24.7,5.6,7.0,158.0,.218,6.7,76.0,2009
3,4,4,SAC,Tyreke Evans,Memphis,10,594,18242,9347,2720,2852,.440,.323,.757,30.7,15.7,4.6,4.8,28.4,.075,0.8,13.1,2009
4,5,5,MIN,Ricky Rubio,,12,698,20694,7570,2830,5160,.388,.324,.843,29.6,10.8,4.1,7.4,42.3,.098,0.5,13.3,2009
5,6,6,MIN,Jonny Flynn,Syracuse,3,163,3738,1504,307,634,.400,.338,.809,22.9,9.2,1.9,3.9,-1.1,-.015,-4.0,-1.9,2009
6,7,7,GSW,Stephen Curry,Davidson,14,882,30302,21712,4179,5740,.475,.428,.909,34.4,24.6,4.7,6.5,128.0,.203,6.6,65.6,2009
7,8,8,NYK,Jordan Hill,Arizona,8,409,7692,3232,2389,322,.497,.136,.699,18.8,7.9,5.8,0.8,16.4,.102,-2.0,0.0,2009
8,9,9,TOR,DeMar DeRozan,USC,14,1031,35471,21685,4570,4106,.468,.291,.840,34.4,21.0,4.4,4.0,92.2,.125,0.8,25.3,2009
9,10,10,MIL,Brandon Jennings,,9,555,16844,7801,1659,3151,.387,.345,.796,30.3,14.1,3.0,5.7,29.9,.085,0.8,11.8,2009
10,11,11,NJN,Terrence Williams,Louisville,4,153,2922,1085,545,364,.412,.317,.659,19.1,7.1,3.6,2.4,-0.2,-.004,-2.8,-0.6,2009
11,12,12,CHA,Gerald Henderson,Duke,8,535,13854,5987,1716,1009,.440,.327,.793,25.9,11.2,3.2,1.9,18.3,.063,-1.8,0.6,2009
12,13,13,IND,Tyler Hansbrough,UNC,7,428,7233,2881,1808,181,.439,.136,.738,16.9,6.7,4.2,0.4,20.2,.134,-2.0,0.0,2009
13,14,14,PHO,Earl Clark,Louisville,6,261,3630,1138,778,134,.403,.328,.664,13.9,4.4,3.0,0.5,2.9,.038,-2.8,-0.8,2009
14,15,15,DET,Austin Daye,Gonzaga,6,293,4132,1522,764,212,.402,.351,.778,14.1,5.2,2.6,0.7,4.5,.053,-2.0,0.0,2009
15,16,16,CHI,James Johnson,Wake Forest,14,765,15477,5814,2706,1598,.474,.301,.678,20.2,7.6,3.5,2.1,27.5,.085,0.4,9.4,2009
16,17,17,PHI,Jrue Holiday,UCLA,14,906,30000,14876,3702,5868,.462,.366,.783,33.1,16.4,4.1,6.5,63.1,.101,1.6,27.4,2009
17,18,18,MIN,Ty Lawson,UNC,8,551,16088,6977,1506,3316,.460,.359,.770,29.2,12.7,2.7,6.0,42.1,.126,1.4,13.6,2009
18,19,19,ATL,Jeff Teague,Wake Forest,12,826,22164,10061,1989,4585,.444,.360,.844,26.8,12.2,2.4,5.6,52.4,.113,0.6,14.3,2009
19,20,20,UTA,Eric Maynor,VCU,5,267,3896,1141,348,760,.392,.350,.721,14.6,4.3,1.3,2.8,3.3,.041,-2.9,-0.8,2009
20,21,21,NOH,Darren Collison,UCLA,11,711,20833,8861,1889,3545,.471,.394,.853,29.3,12.5,2.7,5.0,49.9,.115,0.5,13.4,2009
21,22,22,POR,Victor Claver,,3,80,1072,258,178,56,.398,.293,.585,13.4,3.2,2.2,0.7,0.2,.011,-3.6,-0.4,2009
22,23,23,SAC,Omri Casspi,,10,588,11959,4642,2355,662,.454,.368,.678,20.3,7.9,4.0,1.1,19.6,.078,-0.8,3.5,2009
23,24,24,DAL,Byron Mullens,Ohio State,5,189,3446,1398,790,153,.408,.319,.706,18.2,7.4,4.2,0.8,0.6,.008,-4.0,-1.8,2009
24,25,25,OKC,Rodrigue Beaubois,,4,182,2896,1286,338,374,.439,.325,.810,15.9,7.1,1.9,2.1,4.8,.079,-0.1,1.4,2009
25,26,26,CHI,Taj Gibson,USC,14,945,22456,8256,5570,914,.518,.267,.713,23.8,8.7,5.9,1.0,59.7,.128,-0.8,7.0,2009
26,27,27,MEM,DeMarre Carroll,Missouri,11,578,13675,5150,2454,726,.430,.358,.741,23.7,8.9,4.2,1.3,29.5,.104,0.0,6.7,2009
27,28,28,MIN,Wayne Ellington,UNC,13,770,16100,6190,1643,852,.410,.382,.843,20.9,8.0,2.1,1.1,21.1,.063,-1.5,2.1,2009
28,29,29,LAL,Toney Douglas,Florida State,8,394,7511,3009,875,889,.404,.354,.824,19.1,7.6,2.2,2.3,12.1,.077,-0.8,2.2,2009
29,30,30,CLE,Christian Eyenga,,2,51,1049,320,137,40,.411,.277,.611,20.6,6.3,2.7,0.8,-0.4,-.020,-4.2,-0.6,2009
30,,,,Round 2,Round 2,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced,2009
31,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,2009
32,31,31,SAC,Jeff Ayres,Arizona State,6,237,2322,690,632,99,.553,.400,.776,9.8,2.9,2.7,0.4,6.3,.131,-2.3,-0.2,2009
33,32,32,WAS,Jermaine Taylor,Central Florida,2,65,786,351,108,48,.441,.284,.730,12.1,5.4,1.7,0.7,0.2,.014,-3.7,-0.3,2009
34,33,33,POR,Dante Cunningham,Villanova,10,715,14875,4133,2676,506,.469,.345,.649,20.8,5.8,3.7,0.7,24.9,.080,-1.7,1.1,2009
35,34,34,DEN,Sergio Llull,,,,,,,,,,,,,,,,,,,2009
36,35,35,DET,DaJuan Summers,Georgetown,4,83,820,278,82,29,.384,.367,.642,9.9,3.3,1.0,0.3,-0.1,-.008,-5.8,-0.8,2009
37,36,36,MEM,Sam Young,Pitt,4,249,3966,1436,573,180,.442,.280,.742,15.9,5.8,2.3,0.7,5.2,.063,-2.1,-0.1,2009
38,37,37,SAS,DeJuan Blair,Pitt,7,424,7054,2865,2153,349,.524,.000,.608,16.6,6.8,5.1,0.8,19.0,.129,-1.2,1.4,2009
39,38,38,POR,Jon Brockman,Washington,3,150,1570,320,472,49,.488,.000,.618,10.5,2.1,3.1,0.3,3.7,.113,-3.9,-0.8,2009
40,39,39,DET,Jonas Jerebko,,9,635,11323,3919,2522,525,.457,.363,.770,17.8,6.2,4.0,0.8,25.8,.109,-1.0,2.9,2009
41,40,40,CHA,Derrick Brown,Xavier,3,171,2554,895,413,119,.515,.317,.637,14.9,5.2,2.4,0.7,4.5,.085,-1.3,0.4,2009
42,41,41,MIL,Jodie Meeks,Kentucky,10,539,12110,4988,1120,583,.420,.373,.879,22.5,9.3,2.1,1.1,24.3,.096,-0.6,4.2,2009
43,42,42,LAL,Patrick Beverley,Arkansas,11,593,16227,5069,2490,2033,.413,.373,.754,27.4,8.5,4.2,3.4,37.5,.111,0.9,11.7,2009
44,43,43,MIA,Marcus Thornton,LSU,8,483,11299,5750,1348,677,.425,.358,.830,23.4,11.9,2.8,1.4,20.0,.085,0.2,6.2,2009
45,44,44,DET,Chase Budinger,Arizona,7,407,7998,3198,1240,473,.430,.352,.797,19.7,7.9,3.0,1.2,13.9,.083,-0.5,2.9,2009
46,45,45,MIN,Nick Calathes,Florida,2,129,2011,590,243,353,.441,.288,.581,15.6,4.6,1.9,2.7,2.6,.063,-0.5,0.8,2009
47,46,46,CLE,Danny Green,UNC,14,830,20881,7204,2825,1276,.421,.400,.805,25.2,8.7,3.4,1.5,49.3,.113,1.9,20.2,2009
48,47,47,MIN,Henk Norel,,,,,,,,,,,,,,,,,,,2009
49,48,48,PHO,Taylor Griffin,Oklahoma,1,8,32,10,2,1,.400,.000,.500,4.0,1.3,0.3,0.1,0.0,-.039,-8.1,-0.1,2009
50,49,49,ATL,Sergiy Gladyr,,,,,,,,,,,,,,,,,,,2009
51,50,50,UTA,Goran Suton,Michigan State,,,,,,,,,,,,,,,,,,2009
52,51,51,SAS,Jack McClinton,Miami (FL),,,,,,,,,,,,,,,,,,2009
53,52,52,IND,A.J. Price,UConn,6,261,3929,1523,377,567,.380,.316,.742,15.1,5.8,1.4,2.2,4.7,.058,-1.3,0.7,2009
54,53,53,SAS,Nando De Colo,,2,119,1414,453,211,203,.429,.363,.835,11.9,3.8,1.8,1.7,2.4,.081,-0.7,0.5,2009
55,54,54,CHA,Robert Vaden,UAB,,,,,,,,,,,,,,,,,,2009
56,55,55,POR,Patty Mills,Saint Mary's,14,860,17580,7766,1434,1950,.426,.389,.854,20.4,9.0,1.7,2.3,35.7,.098,0.0,8.9,2009
57,56,56,DAL,Ahman Nivins,Saint Joseph's,,,,,,,,,,,,,,,,,,2009
58,57,57,PHO,Emir Preldžić,,,,,,,,,,,,,,,,,,,2009
59,58,58,BOS,Lester Hudson,University of Tennessee at Martin,4,57,594,268,77,71,.375,.277,.806,10.4,4.7,1.4,1.2,0.2,.016,-2.1,0.0,2009
60,59,59,LAL,Chinemelu Elonu,Texas A&M,,,,,,,,,,,,,,,,,,2009
61,60,60,MIA,Robert Dozier,Memphis,,,,,,,,,,,,,,,,,,2009
0,1,1,WAS,John Wall,Kentucky,11,647,22588,12088,2704,5735,.430,.322,.776,34.9,18.7,4.2,8.9,44.5,.094,2.2,24.1,2010
1,2,2,PHI,Evan Turner,Ohio State,10,705,18938,6824,3278,2462,.434,.294,.782,26.9,9.7,4.6,3.5,20.2,.051,-1.9,0.5,2010
2,3,3,NJN,Derrick Favors,Georgia Tech,12,790,19202,8354,5608,851,.534,.198,.663,24.3,10.6,7.1,1.1,60.2,.150,0.9,14.0,2010
3,4,4,MIN,Wesley Johnson,Syracuse,9,609,13472,4235,1924,645,.404,.337,.741,22.1,7.0,3.2,1.1,10.7,.038,-1.6,1.2,2010
4,5,5,SAC,DeMarcus Cousins,Kentucky,11,654,19509,12802,6664,1979,.460,.331,.737,29.8,19.6,10.2,3.0,46.8,.115,2.4,21.6,2010
5,6,6,GSW,Ekpe Udoh,Baylor,7,384,5694,1353,1100,260,.453,.000,.718,14.8,3.5,2.9,0.7,10.4,.088,-1.4,0.8,2010
6,7,7,DET,Greg Monroe,Georgetown,10,646,17670,8402,5293,1376,.514,.059,.703,27.4,13.0,8.2,2.1,50.4,.137,1.4,15.3,2010
7,8,8,LAC,Al-Farouq Aminu,Wake Forest,11,711,17698,5350,4280,879,.420,.332,.746,24.9,7.5,6.0,1.2,27.6,.075,-0.6,6.5,2010
8,9,9,UTA,Gordon Hayward,Butler,13,784,24409,12187,3517,2782,.455,.369,.825,31.1,15.5,4.5,3.5,62.0,.122,1.8,23.1,2010
9,10,10,IND,Paul George,Fresno State,13,793,26680,16361,5077,2929,.437,.381,.850,33.6,20.6,6.4,3.7,81.2,.146,4.0,40.3,2010
10,11,11,NOH,Cole Aldrich,Kansas,8,339,3389,1050,1131,183,.527,,.738,10.0,3.1,3.3,0.5,9.6,.135,0.1,1.8,2010
11,12,12,MEM,Xavier Henry,Kansas,5,185,2905,1050,351,120,.406,.325,.635,15.7,5.7,1.9,0.6,0.8,.013,-4.4,-1.7,2010
12,13,13,TOR,Ed Davis,UNC,12,722,13756,4291,4616,539,.567,.000,.583,19.1,5.9,6.4,0.7,43.3,.151,-0.2,6.2,2010
13,14,14,HOU,Patrick Patterson,Kentucky,11,719,14923,4782,2799,736,.447,.369,.755,20.8,6.7,3.9,1.0,31.9,.102,0.0,7.4,2010
14,15,15,MIL,Larry Sanders,VCU,6,238,4635,1520,1345,174,.480,.000,.553,19.5,6.4,5.7,0.7,10.3,.107,-1.1,1.1,2010
15,16,16,MIN,Luke Babbitt,Nevada,8,381,5332,1818,846,224,.408,.402,.747,14.0,4.8,2.2,0.6,7.2,.065,-2.1,-0.1,2010
16,17,17,CHI,Kevin Séraphin,,7,423,6430,2516,1462,246,.489,.000,.715,15.2,5.9,3.5,0.6,5.9,.044,-4.3,-3.6,2010
17,18,18,OKC,Eric Bledsoe,Kentucky,12,756,21021,10348,2937,3545,.452,.336,.784,27.8,13.7,3.9,4.7,46.1,.105,1.6,18.8,2010
18,19,19,BOS,Avery Bradley,Texas,12,660,18151,7279,1863,1105,.434,.365,.783,27.5,11.0,2.8,1.7,17.2,.045,-2.4,-1.8,2010
19,20,20,SAS,James Anderson,Oklahoma State,5,247,4320,1422,560,291,.411,.321,.755,17.5,5.8,2.3,1.2,3.3,.037,-2.7,-0.8,2010
20,21,21,OKC,Craig Brackins,Iowa State,2,17,121,30,19,9,.265,.214,.500,7.1,1.8,1.1,0.5,-0.2,-.089,-9.9,-0.2,2010
21,22,22,POR,Elliot Williams,Memphis,4,109,1470,537,161,94,.421,.310,.669,13.5,4.9,1.5,0.9,0.7,.024,-4.9,-1.1,2010
22,23,23,MIN,Trevor Booker,Clemson,8,532,10872,3679,2932,566,.515,.305,.636,20.4,6.9,5.5,1.1,26.2,.116,-0.5,4.2,2010
23,24,24,ATL,Damion James,Texas,4,39,623,150,131,26,.415,.000,.667,16.0,3.8,3.4,0.7,0.0,-.001,-3.7,-0.3,2010
24,25,25,MEM,Dominique Jones,South Florida,3,80,741,246,114,144,.366,.095,.729,9.3,3.1,1.4,1.8,0.3,.017,-2.4,-0.1,2010
25,26,26,OKC,Quincy Pondexter,Washington,7,355,5530,1609,640,263,.423,.356,.746,15.6,4.5,1.8,0.7,9.7,.084,-1.8,0.3,2010
26,27,27,NJN,Jordan Crawford,Xavier,6,281,6843,3432,703,883,.411,.317,.826,24.4,12.2,2.5,3.1,6.3,.044,-1.3,1.3,2010
27,28,28,MEM,Greivis Vásquez,Maryland,7,401,9520,3591,1021,1935,.418,.349,.817,23.7,9.0,2.5,4.8,12.6,.064,-1.2,1.8,2010
28,29,29,ORL,Daniel Orton,Kentucky,3,51,542,143,126,24,.485,.000,.597,10.6,2.8,2.5,0.5,1.0,.093,-3.5,-0.2,2010
29,30,30,WAS,Lazar Hayward,Marquette,3,72,591,207,90,35,.347,.269,.767,8.2,2.9,1.3,0.5,0.2,.020,-4.2,-0.3,2010
30,,,,Round 2,Round 2,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced,2010
31,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,2010
32,31,31,NJN,Tibor Pleiß,,1,12,82,24,15,2,.440,.000,1.000,6.8,2.0,1.3,0.2,-0.1,-.041,-11.6,-0.2,2010
33,32,32,MIA,Dexter Pittman,Texas,4,50,347,116,89,9,.450,,.545,6.9,2.3,1.8,0.2,0.5,.068,-7.7,-0.5,2010
34,33,33,SAC,Hassan Whiteside,Marshall,10,511,12645,6450,5523,327,.586,.308,.605,24.7,12.6,10.8,0.6,52.0,.197,2.5,14.5,2010
35,34,34,POR,Armon Johnson,Nevada,2,47,401,157,49,56,.458,.400,.679,8.5,3.3,1.0,1.2,-0.1,-.015,-4.1,-0.2,2010
36,35,35,WAS,Nemanja Bjelica,,7,449,9172,3412,2051,826,.466,.384,.759,20.4,7.6,4.6,1.8,20.0,.104,0.3,5.4,2010
37,36,36,DET,Terrico White,Ole Miss,,,,,,,,,,,,,,,,,,2010
38,37,37,MIL,Darington Hobson,New Mexico,1,5,39,4,3,6,.154,.000,,7.8,0.8,0.6,1.2,-0.2,-.225,-13.0,-0.1,2010
39,38,38,NYK,Andy Rautins,Syracuse,1,5,24,8,1,3,.429,.250,.500,4.8,1.6,0.2,0.6,-0.2,-.314,-13.2,-0.1,2010
40,39,39,NYK,Landry Fields,Stanford,5,255,6010,1731,1092,419,.473,.332,.666,23.6,6.8,4.3,1.6,10.5,.084,-0.3,2.6,2010
41,40,40,IND,Lance Stephenson,Cincinnati,10,554,12680,4738,2251,1621,.445,.314,.694,22.9,8.6,4.1,2.9,17.5,.066,-1.3,2.3,2010
42,41,41,MIA,Jarvis Varnado,Mississippi State,2,37,397,107,72,16,.582,,.518,10.7,2.9,1.9,0.4,0.7,.089,-3.3,-0.1,2010
43,42,42,MIA,Da'Sean Butler,West Virginia,,,,,,,,,,,,,,,,,,2010
44,43,43,LAL,Devin Ebanks,West Virginia,3,63,711,224,122,24,.385,.222,.722,11.3,3.6,1.9,0.4,0.5,.035,-4.8,-0.5,2010
45,44,44,MIL,Jerome Jordan,Tulsa,2,65,491,180,132,17,.528,,.852,7.6,2.8,2.0,0.3,1.7,.168,-1.0,0.1,2010
46,45,45,MIN,Paulão Prestes,,,,,,,,,,,,,,,,,,,2010
47,46,46,PHO,Gani Lawal,Georgia Tech,1,1,2,0,0,0,,,,2.0,0.0,0.0,0.0,0.0,-.009,-15.0,0.0,2010
48,47,47,MIL,Tiny Gallon,Oklahoma,,,,,,,,,,,,,,,,,,2010
49,48,48,MIA,Latavious Williams,,,,,,,,,,,,,,,,,,,2010
50,49,49,SAS,Ryan Richards,,,,,,,,,,,,,,,,,,,2010
51,50,50,DAL,Solomon Alabi,Florida State,2,26,181,39,61,5,.314,,.700,7.0,1.5,2.3,0.2,0.0,.010,-4.4,-0.1,2010
52,51,51,OKC,Magnum Rolle,Louisiana Tech,,,,,,,,,,,,,,,,,,2010
53,52,52,BOS,Luke Harangody,Notre Dame,2,70,871,253,196,36,.376,.241,.737,12.4,3.6,2.8,0.5,0.9,.048,-3.5,-0.3,2010
54,53,53,ATL,Pape Sy,,1,3,21,7,3,2,.333,.000,1.000,7.0,2.3,1.0,0.7,0.0,-.047,-6.0,0.0,2010
55,54,54,LAC,Willie Warren,Oklahoma,1,19,134,37,12,27,.371,.333,.750,7.1,1.9,0.6,1.4,0.2,.065,-2.7,0.0,2010
56,55,55,UTA,Jeremy Evans,Western Kentucky,7,250,2626,879,641,107,.569,.231,.687,10.5,3.5,2.6,0.4,8.2,.150,0.9,1.9,2010
57,56,56,MIN,Hamady N'Diaye,Rutgers University,3,33,157,20,25,3,.467,,.462,4.8,0.6,0.8,0.1,0.0,.013,-7.3,-0.2,2010
58,57,57,IND,Ryan Reid,Florida State,1,5,17,8,2,0,.800,,,3.4,1.6,0.4,0.0,0.1,.142,-2.0,0.0,2010
59,58,58,LAL,Derrick Caracter,Texas-El Paso,1,41,215,81,43,7,.485,,.739,5.2,2.0,1.0,0.2,0.3,.057,-7.1,-0.3,2010
60,59,59,ORL,Stanley Robinson,UConn,,,,,,,,,,,,,,,,,,2010
61,60,60,PHO,Dwayne Collins,Miami (FL),,,,,,,,,,,,,,,,,,2010
0,1,1,CLE,Kyrie Irving,Duke,12,671,23045,15712,2643,3834,.472,.391,.885,34.3,23.4,3.9,5.7,79.4,.165,4.5,37.6,2011
1,2,2,MIN,Derrick Williams,Arizona,7,428,8864,3809,1693,293,.434,.300,.710,20.7,8.9,4.0,0.7,14.1,.076,-1.6,0.8,2011
2,3,3,UTA,Enes Freedom,,11,748,16101,8349,5822,638,.548,.289,.777,21.5,11.2,7.8,0.9,52.8,.157,-0.1,7.6,2011
3,4,4,CLE,Tristan Thompson,Texas,11,730,19556,6592,6120,725,.519,.263,.605,26.8,9.0,8.4,1.0,47.6,.117,-1.7,1.4,2011
4,5,5,TOR,Jonas Valančiūnas,,11,774,20109,10434,7375,964,.561,.357,.789,26.0,13.5,9.5,1.2,73.2,.175,1.0,15.1,2011
5,6,6,WAS,Jan Veselý,,3,162,2455,590,562,96,.521,.000,.408,15.2,3.6,3.5,0.6,4.0,.078,-2.6,-0.4,2011
6,7,7,SAC,Bismack Biyombo,,12,799,15593,4077,4742,498,.533,.000,.556,19.5,5.1,5.9,0.6,31.3,.096,-2.5,-1.9,2011
7,8,8,DET,Brandon Knight,Kentucky,9,451,13202,6301,1385,1777,.411,.352,.807,29.3,14.0,3.1,3.9,11.6,.042,-1.6,1.4,2011
8,9,9,CHA,Kemba Walker,UConn,12,750,24810,14486,2831,3938,.418,.360,.840,33.1,19.3,3.8,5.3,59.8,.116,2.8,29.8,2011
9,10,10,MIL,Jimmer Fredette,BYU,6,241,3213,1438,243,331,.409,.372,.879,13.3,6.0,1.0,1.4,2.2,.033,-2.5,-0.4,2011
10,11,11,GSW,Klay Thompson,Washington State,10,716,23560,14156,2541,1667,.455,.416,.852,32.9,19.8,3.5,2.3,51.7,.105,0.7,15.9,2011
11,12,12,UTA,Alec Burks,Colorado,12,676,15501,7301,2368,1378,.419,.384,.801,22.9,10.8,3.5,2.0,28.6,.089,-0.4,6.2,2011
12,13,13,PHO,Markieff Morris,Kansas,12,750,18079,7954,3785,1184,.446,.343,.778,24.1,10.6,5.0,1.6,27.5,.073,-1.4,2.7,2011
13,14,14,HOU,Marcus Morris,Kansas,12,783,21276,9649,3556,1199,.434,.376,.773,27.2,12.3,4.5,1.5,38.4,.087,-0.7,7.1,2011
14,15,15,IND,Kawhi Leonard,San Diego State,11,628,19773,12324,4027,1876,.495,.387,.859,31.5,19.6,6.4,3.0,90.4,.219,6.8,43.9,2011
15,16,16,PHI,Nikola Vučević,USC,12,823,25615,14000,8634,2302,.496,.348,.764,31.1,17.0,10.5,2.8,67.2,.126,2.3,27.5,2011
16,17,17,NYK,Iman Shumpert,Georgia Tech,10,461,11470,3320,1534,845,.391,.337,.764,24.9,7.2,3.3,1.8,12.9,.054,-1.7,0.9,2011
17,18,18,WAS,Chris Singleton,Florida State,3,148,2605,612,472,92,.376,.319,.633,17.6,4.1,3.2,0.6,2.3,.042,-3.2,-0.8,2011
18,19,19,CHA,Tobias Harris,Tennessee,12,827,26054,13398,5084,1914,.478,.369,.831,31.5,16.2,6.1,2.3,64.2,.118,1.0,19.9,2011
19,20,20,MIN,Donatas Motiejūnas,,6,251,4566,1832,952,269,.469,.300,.597,18.2,7.3,3.8,1.1,7.1,.075,-2.5,-0.5,2011
20,21,21,POR,Nolan Smith,Duke,2,84,829,277,83,97,.371,.260,.714,9.9,3.3,1.0,1.2,-0.8,-.047,-6.0,-0.8,2011
21,22,22,DEN,Kenneth Faried,Morehead State University,8,478,11728,5430,3884,470,.546,.222,.654,24.5,11.4,8.1,1.0,38.8,.159,0.5,7.5,2011
22,23,23,HOU,Nikola Mirotić,,5,319,7718,3910,1894,407,.423,.359,.808,24.2,12.3,5.9,1.3,20.8,.129,1.6,7.1,2011
23,24,24,OKC,Reggie Jackson,Boston College,12,771,19658,9876,2266,3253,.423,.344,.857,25.5,12.8,2.9,4.2,34.1,.083,-0.3,8.3,2011
24,25,25,BOS,MarShon Brooks,Providence,5,200,3456,1592,424,282,.447,.345,.751,17.3,8.0,2.1,1.4,3.3,.046,-1.6,0.4,2011
25,26,26,DAL,Jordan Hamilton,Texas,5,151,2100,890,429,127,.408,.357,.670,13.9,5.9,2.8,0.8,3.0,.069,-0.1,1.0,2011
26,27,27,NJN,JaJuan Johnson,Purdue,1,36,298,114,58,6,.446,,.667,8.3,3.2,1.6,0.2,0.2,.032,-3.9,-0.1,2011
27,28,28,CHI,Norris Cole,Cleveland State University,6,360,8018,2506,702,981,.407,.324,.743,22.3,7.0,2.0,2.7,3.0,.018,-4.1,-4.1,2011
28,29,29,SAS,Cory Joseph,Texas,12,790,17388,5588,1990,2403,.442,.350,.787,22.0,7.1,2.5,3.0,30.5,.084,-1.1,4.0,2011
29,30,30,CHI,Jimmy Butler,Marquette,12,754,25002,13688,4033,3176,.467,.323,.842,33.2,18.2,5.3,4.2,105.9,.203,5.0,44.1,2011
30,,,,Round 2,Round 2,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced,2011
31,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,2011
32,31,31,MIA,Bojan Bogdanović,,9,662,19412,10316,2407,1097,.460,.394,.865,29.3,15.6,3.6,1.7,36.5,.090,-0.7,6.2,2011
33,32,32,CLE,Justin Harper,Richmond,3,22,150,45,18,4,.340,.276,.333,6.8,2.0,0.8,0.2,-0.3,-.093,-8.7,-0.2,2011
34,33,33,DET,Kyle Singler,Duke,6,356,7794,2326,1026,272,.418,.362,.786,21.9,6.5,2.9,0.8,10.0,.062,-2.5,-0.9,2011
35,34,34,WAS,Shelvin Mack,Butler,8,456,8392,2997,894,1421,.423,.330,.731,18.4,6.6,2.0,3.1,10.3,.059,-1.9,0.1,2011
36,35,35,SAC,Tyler Honeycutt,UCLA,2,24,120,28,24,9,.314,.200,.714,5.0,1.2,1.0,0.4,-0.1,-.049,-5.1,-0.1,2011
37,36,36,NJN,Jordan Williams,Maryland,1,43,635,197,156,11,.507,,.652,14.8,4.6,3.6,0.3,1.3,.101,-2.1,0.0,2011
38,37,37,LAC,Trey Thompkins,Georgia,1,24,119,57,24,3,.393,.308,.714,5.0,2.4,1.0,0.1,0.0,.004,-5.7,-0.1,2011
39,38,38,HOU,Chandler Parsons,Florida,9,440,13246,5571,1972,1201,.462,.373,.713,30.1,12.7,4.5,2.7,28.9,.105,1.1,10.2,2011
40,39,39,CHA,Jeremy Tyler,,3,104,1034,373,269,25,.450,.000,.557,9.9,3.6,2.6,0.2,0.3,.014,-7.0,-1.3,2011
41,40,40,MIL,Jon Leuer,Wisconsin,8,377,5945,2395,1426,301,.484,.328,.767,15.8,6.4,3.8,0.8,13.2,.107,-0.7,2.0,2011
